Match date,Matches,Team,InStat Index,Goals,Chances,Chances successful,Fouls,Yellow cards,Red cards,Tactics,Offsides,Corner,Shots,Shots on target,Passes,"Accurate passes, %",Key passes,Key passes accurate,Crosses,"Accurate crosses, %",Challenges,"Challenges won, %",Defensive challenges,"Challenges in defence won, %",Attacking challenges,"Challenges in attack won, %",Air challenges,"Air challenges won, %",Dribbles,"Successful dribbles, %",Tackles,"Tackles won, %",Lost balls,Lost balls in own half,Ball recoveries,Ball recoveries in opponent's half,Team pressing,"Pressing efficiency, %","Ball possession, %",Entrances to the opposition half,Entrances to the final third,Entrance to the penalty box,Total actions,Successful actions,"Successful actions, %","Shots on target, %",Shots wide,Blocked shots,Shots on post / bar,Accurate passes,Crosses accurate,Positional attacks,Positional attacks with shots,% of efficiency for positional attacks,Counter-attacks,Counter-attacks with a shot,% of efficiency for counterattacks,Set pieces attacks,Attacks with shots - Set pieces attacks,% of efficiency for set-piece attacks,Free-kick attacks,Free-kick attacks with shots,% of efficiency for free-kick attacks,Corner attacks,Corner attacks with shots,% of efficiency for corner attacks,Throw-in attacks,Throw-in attacks with shots,% of efficiency for throw-in attacks,Free-kick shots,Goals - Free-kick attack,% scored free kick shots,Penalties,"Penalties
 scored","Penalties scored, %",Team pressing successful,Opponent's passes per defensive action,Building-ups,Building-ups without pressing,High pressing,High pressing successful,"High pressing, %",Low pressing,Low pressing successful,"Low pressing, %","Ball possession, sec","Ball possessions, quantity",xG (Expected goals),Opponent's xG,Net xG (xG - Opponent's xG),Expected points,xG conversion,xG per shot,Opponent's xG per shot,xG per goal,Opponent's xG per goal,home_Away
26-09-20,Zurich 2 : 2 Lugano,ZUR,214,2,6,2,11,1,0,4-2-3-1,1,11,21,7,574,82%,8,6,24,33%,140,54%,66,61%,74,47%,37,54%,30,47%,17,53%,66,8,57,15,18,44%,54%,93,75,25,906,713,79%,33%,7,7,0,472,8,66,10,15%,15,3,20%,21,6,29%,7,3,43%,11,3,27%,3,0,0,1,0,0,0,0,0,8,6.48,28,16,9,4,44%,9,4,44%,1788.78,109,2.35,1.15,1.2,2.3,0.85,0.11,0.12,1.18,0.58,h
26-09-20,Zurich 2 : 2 Lugano,LUG,210,2,3,2,10,2,1,3-5-2*,1,5,10,5,436,80%,5,1,9,22%,140,46%,74,53%,66,39%,37,46%,15,53%,33,58%,69,19,49,4,12,33%,46%,50,33,12,747,574,77%,50%,3,2,0,350,2,58,5,9%,7,1,14%,8,3,38%,3,0,0,5,3,60%,0,0,0,0,0,0,0,0,0,4,4.5,42,24,4,2,50%,8,2,25%,1551.72,98,1.15,2.35,1.2,0.3,1.74,0.12,0.11,0.58,1.18,a
27-09-20,Luzern 2 : 2 Lausanne-Sport,LUZ,217,2,6,2,8,2,0,4-3-3d,3,4,15,8,667,86%,14,4,29,21%,153,54%,67,60%,86,50%,22,59%,37,54%,33,73%,83,15,69,11,11,55%,67%,89,56,19,1011,834,82%,53%,5,2,0,575,6,88,12,14%,12,0,0,7,2,29%,2,2,100%,4,0,0,1,0,0,1,0,0,0,0,0,6,5.79,37,21,6,3,50%,5,3,60%,2312,123,2.05,0.57,1.48,2.3,0.98,0.14,0.08,1.03,0.29,h
27-09-20,Servette 1 : 0 Basel,SER,233,1,7,1,13,2,0,4-2-3-1,1,7,18,6,569,85%,11,6,26,42%,142,50%,73,59%,69,41%,35,54%,30,50%,29,48%,66,9,50,9,13,62%,57%,74,55,24,885,708,80%,33%,7,4,1,483,11,70,14,20%,16,1,6%,10,3,30%,1,0,0,7,2,29%,1,0,0,0,0,0,1,1,100%,8,6.33,36,26,4,3,75%,9,5,56%,1863.88,104,3.38,0.32,3.06,2.7,0.3,0.19,0.11,3.38,0,h
27-09-20,Servette 1 : 0 Basel,BAS,205,0,1,0,11,3,1,4-4-2c,2,0,3,1,407,81%,4,1,8,25%,142,50%,69,59%,73,41%,35,46%,26,58%,33,55%,76,16,48,6,10,60%,43%,48,29,4,711,548,77%,33%,1,1,0,329,2,50,2,4%,15,1,7%,4,0,0,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,6,6.36,39,26,3,2,67%,7,4,57%,1393.51,101,0.32,3.38,3.06,0.1,0,0.11,0.19,0,3.38,a
27-09-20,Vaduz 0 : 1 St. Gallen,SG,223,1,6,1,10,1,0,4-4-2d,1,6,22,6,490,79%,11,4,9,11%,169,54%,83,65%,86,44%,37,51%,38,61%,34,71%,81,15,69,15,19,53%,61%,89,71,22,861,655,76%,27%,10,6,0,386,1,81,14,17%,18,0,0,14,8,57%,4,3,75%,6,4,67%,3,0,0,2,0,0,1,0,0,10,3.23,23,12,12,6,50%,7,4,57%,1715.36,130,2.58,0.88,1.7,2.7,0.39,0.12,0.15,2.58,0,a
03-10-20,Lausanne-Sport 4 : 0 Zurich,ZUR,190,0,2,0,7,0,0,4-2-3-1,3,5,8,3,457,80%,2,1,11,27%,162,44%,80,51%,82,37%,36,42%,24,42%,32,53%,93,20,56,10,17,47%,46%,78,36,11,756,555,73%,38%,3,2,0,364,3,66,3,5%,15,3,20%,8,1,13%,1,0,0,5,1,20%,2,0,0,0,0,0,0,0,0,8,5.58,32,13,12,6,50%,5,2,40%,1496.75,121,0.69,1.62,0.93,0.5,0,0.09,0.09,0,0.41,a
03-10-20,Lugano 2 : 2 Sion,LUG,222,2,4,2,10,4,0,3-5-2*,1,4,10,3,494,83%,11,6,12,25%,135,53%,60,65%,75,43%,39,49%,10,80%,21,71%,65,15,45,3,8,38%,55%,56,31,13,782,612,78%,30%,4,3,0,410,3,63,5,8%,13,2,15%,7,3,43%,3,1,33%,4,2,50%,0,0,0,0,0,0,0,0,0,3,4.14,35,20,4,2,50%,4,1,25%,1581.44,105,1.86,1.87,0.01,0.7,1.08,0.19,0.13,0.93,0.94,h
03-10-20,Lugano 2 : 2 Sion,SIO,207,2,5,2,10,2,0,4-4-2c,2,6,14,6,377,77%,3,3,12,17%,135,47%,75,57%,60,35%,39,51%,13,46%,14,43%,61,6,43,9,15,47%,45%,60,36,9,654,481,74%,43%,6,2,0,290,2,54,5,9%,10,3,30%,10,4,40%,2,1,50%,6,2,33%,1,0,0,0,0,0,1,1,100%,7,6.12,19,11,8,3,38%,7,4,57%,1269.33,96,1.87,1.86,0.01,1.5,1.07,0.13,0.19,0.94,0.93,a
04-10-20,Basel 3 : 2 Luzern,BAS,231,3,7,3,9,3,0,4-3-3d,2,12,18,8,413,80%,6,2,16,19%,206,59%,91,45%,115,70%,31,58%,61,80%,45,40%,59,3,48,10,16,44%,50%,74,51,18,794,604,76%,44%,5,5,0,331,3,67,9,13%,14,4,29%,17,5,29%,5,3,60%,12,2,17%,0,0,0,2,0,0,0,0,0,7,4.39,24,10,10,4,40%,6,3,50%,1447.99,105,1.72,1.32,0.4,1.5,1.74,0.1,0.13,0.57,0.66,h
