Match date,Matches,Team,InStat Index,Goals,Chances,Chances successful,Fouls,Yellow cards,Red cards,Tactics,Offsides,Corner,Shots,Shots on target,Passes,"Accurate passes, %",Key passes,Key passes accurate,Crosses,"Accurate crosses, %",Challenges,"Challenges won, %",Defensive challenges,"Challenges in defence won, %",Attacking challenges,"Challenges in attack won, %",Air challenges,"Air challenges won, %",Dribbles,"Successful dribbles, %",Tackles,"Tackles won, %",Lost balls,Lost balls in own half,Ball recoveries,Ball recoveries in opponent's half,Team pressing,"Pressing efficiency, %","Ball possession, %",Entrances to the opposition half,Entrances to the final third,Entrance to the penalty box,Total actions,Successful actions,"Successful actions, %","Shots on target, %",Shots wide,Blocked shots,Shots on post / bar,Accurate passes,Crosses accurate,Positional attacks,Positional attacks with shots,% of efficiency for positional attacks,Counter-attacks,Counter-attacks with a shot,% of efficiency for counterattacks,Set pieces attacks,Attacks with shots - Set pieces attacks,% of efficiency for set-piece attacks,Free-kick attacks,Free-kick attacks with shots,% of efficiency for free-kick attacks,Corner attacks,Corner attacks with shots,% of efficiency for corner attacks,Throw-in attacks,Throw-in attacks with shots,% of efficiency for throw-in attacks,Free-kick shots,Goals - Free-kick attack,% scored free kick shots,Penalties,"Penalties
 scored","Penalties scored, %",Team pressing successful,Opponent's passes per defensive action,Building-ups,Building-ups without pressing,High pressing,High pressing successful,"High pressing, %",Low pressing,Low pressing successful,"Low pressing, %","Ball possession, sec","Ball possessions, quantity",xG (Expected goals),Opponent's xG,Net xG (xG - Opponent's xG),Expected points,xG conversion,xG per shot,Opponent's xG per shot,xG per goal,Opponent's xG per goal,home_Away
20-02-21,Basel 0 : 0 Lausanne-Sport,BAS,207,0,2,0,6,2,1,4-3-3d,0,5,6,1,399,79%,4,1,8,25%,164,51%,70,53%,94,50%,51,49%,21,48%,39,51%,75,8,51,2,6,17%,43%,60,30,11,704,532,76%,17%,4,1,0,317,2,56,1,2%,15,4,27%,10,1,10%,4,0,0,5,1,20%,1,0,0,0,0,0,0,0,0,1,7.19,25,12,2,0,0,4,1,25%,1456.42,102,0.48,1.52,1.04,0.3,0,0.08,0.08,0,0,h
21-02-21,Lugano 2 : 3 Luzern,LUG,205,2,3,2,18,5,0,4-1-4-1,2,3,9,6,385,81%,3,1,6,33%,137,44%,63,54%,74,35%,18,39%,23,43%,40,55%,72,21,54,4,10,20%,44%,49,29,14,682,523,77%,67%,2,1,0,312,2,44,4,9%,14,3,21%,9,2,22%,6,1,17%,3,1,33%,0,0,0,0,0,0,0,0,0,2,5.58,29,11,2,0,0,8,2,25%,1399.37,100,1.02,1.86,0.84,0.5,1.96,0.11,0.1,0.51,0.62,h
21-02-21,Lugano 2 : 3 Luzern,LUZ,226,3,6,3,11,3,0,03-04-03,4,6,18,10,476,81%,7,2,17,12%,137,56%,74,65%,63,46%,18,61%,32,56%,34,71%,70,9,58,13,18,44%,56%,84,54,21,796,628,79%,56%,5,3,0,385,2,69,10,14%,18,2,11%,12,5,42%,5,3,60%,6,1,17%,0,0,0,2,1,50%,1,1,100%,8,5.67,32,22,10,3,30%,8,5,63%,1762.16,110,1.86,1.02,0.84,2,1.61,0.1,0.11,0.62,0.51,a
21-02-21,Young Boys 2 : 0 Servette,YB,240,2,8,2,8,2,1,4-4-2c,2,10,10,3,448,78%,13,5,20,25%,175,57%,75,68%,100,49%,47,60%,37,62%,32,63%,74,22,56,12,25,60%,48%,61,44,16,779,592,76%,30%,5,2,0,349,5,54,5,9%,14,1,7%,12,5,42%,1,1,100%,10,4,40%,1,0,0,1,0,0,0,0,0,15,5.28,31,17,11,6,55%,14,9,64%,1473.32,114,0.87,0.86,0.01,1.5,1.15,0.09,0.1,0.87,0,h
21-02-21,Young Boys 2 : 0 Servette,SER,208,0,3,0,10,1,0,4-3-3d,3,7,9,1,505,83%,6,3,15,20%,175,43%,100,51%,75,32%,47,40%,23,52%,48,52%,76,18,55,14,14,71%,52%,63,41,9,847,635,75%,11%,3,5,0,417,3,64,6,9%,13,0,0,8,3,38%,1,1,100%,7,2,29%,0,0,0,0,0,0,0,0,0,10,4.42,37,12,6,6,100%,8,4,50%,1595.28,105,0.86,0.87,0.01,0.7,0,0.1,0.09,0,0.87,a
21-02-21,Zurich 1 : 1 Sion,ZUR,212,1,4,1,16,4,0,4-2-3-1,2,1,13,2,404,74%,8,4,16,31%,180,54%,93,60%,87,48%,76,53%,26,58%,22,68%,77,13,61,10,9,44%,48%,68,36,14,765,551,72%,15%,7,3,1,298,5,65,6,9%,20,4,20%,5,1,20%,4,0,0,1,1,100%,0,0,0,0,0,0,0,0,0,4,4.21,34,17,2,2,100%,7,2,29%,1394.34,108,2.05,1.86,0.19,1.5,0.49,0.16,0.17,2.05,1.86,h
21-02-21,Zurich 1 : 1 Sion,SIO,212,1,4,1,14,3,1,4-4-2d,2,5,11,3,458,77%,4,2,15,40%,180,46%,87,52%,93,40%,76,47%,18,39%,27,44%,74,15,46,1,17,41%,52%,66,35,14,806,579,72%,27%,5,3,0,354,6,62,8,13%,12,1,8%,16,2,13%,5,0,0,5,1,20%,5,0,0,0,0,0,1,0,0,7,3.27,29,20,9,4,44%,8,3,38%,1530.07,116,1.86,2.05,0.19,0.7,0.54,0.17,0.16,1.86,2.05,a
24-02-21,Vaduz 1 : 1 Luzern,LUZ,215,1,4,1,11,3,0,4-2-3-1,2,6,9,2,399,74%,5,2,5,0,169,47%,88,49%,81,44%,41,54%,24,50%,40,45%,81,15,60,13,18,50%,46%,65,44,17,718,507,71%,22%,4,3,0,297,0,54,2,4%,19,4,21%,15,3,20%,6,2,33%,5,1,20%,4,0,0,1,0,0,0,0,0,9,5.53,22,9,7,5,71%,11,4,36%,1355.32,118,0.8,1.4,0.6,0.5,1.25,0.09,0.13,0.8,1.4,a
27-02-21,Servette 3 : 1 Zurich,SER,232,3,11,3,14,2,0,4-3-3d,0,6,18,8,603,82%,8,6,24,29%,135,53%,75,60%,60,43%,53,62%,14,43%,28,46%,67,11,59,9,12,42%,64%,70,48,21,924,732,79%,44%,6,3,1,497,7,74,9,12%,16,3,19%,8,5,63%,1,0,0,6,4,67%,0,0,0,0,0,0,1,1,100%,5,5.14,43,32,7,3,43%,5,2,40%,2052.52,106,3.79,0.32,3.47,2.7,0.79,0.21,0.05,1.26,0.32,h
27-02-21,Servette 3 : 1 Zurich,ZUR,195,1,1,1,10,3,0,3-5-2*,1,4,6,3,386,76%,3,0,11,18%,135,47%,60,57%,75,40%,53,38%,23,65%,23,74%,75,15,50,5,11,9%,36%,60,33,12,694,512,74%,50%,0,3,0,293,2,60,3,5%,17,2,12%,10,1,10%,6,1,17%,4,0,0,0,0,0,0,0,0,0,0,0,1,6.81,22,10,4,0,0,7,1,14%,1179.15,103,0.32,3.79,3.47,0.1,3.13,0.05,0.21,0.32,1.26,a
27-02-21,St. Gallen 3 : 1 Basel,SG,231,3,8,3,14,2,0,4-4-2d,1,7,21,8,406,77%,8,2,11,27%,201,51%,106,49%,95,54%,50,52%,34,65%,39,38%,69,17,58,11,12,50%,50%,75,55,23,799,579,72%,38%,6,7,0,312,3,71,10,14%,20,6,30%,11,5,45%,3,2,67%,7,2,29%,0,0,0,1,1,100%,1,1,100%,6,2.9,26,11,6,4,67%,6,2,33%,1348.39,117,3,1.6,1.4,2.3,1,0.14,0.13,1,1.6,h
27-02-21,St. Gallen 3 : 1 Basel,BAS,197,1,6,1,13,1,0,4-4-2d,0,4,12,2,383,76%,11,3,10,30%,201,49%,95,46%,106,51%,50,48%,32,75%,39,44%,77,14,49,8,15,53%,50%,69,39,17,759,535,70%,17%,5,5,0,290,3,64,3,5%,17,2,12%,14,6,43%,7,2,29%,4,2,50%,3,2,67%,1,0,0,0,0,0,8,3.55,17,5,8,4,50%,7,4,57%,1331.73,110,1.6,3,1.4,0.3,0.63,0.13,0.14,1.6,1,a
28-02-21,Lausanne-Sport 2 : 0 Lugano,LUG,199,0,1,0,17,1,0,3-5-2*,1,1,7,2,508,82%,4,0,11,18%,175,57%,71,62%,104,53%,46,74%,13,62%,27,56%,84,21,59,12,12,25%,51%,65,31,13,851,658,77%,29%,3,2,0,419,2,71,4,6%,11,0,0,10,3,30%,6,3,50%,1,0,0,3,0,0,1,0,0,0,0,0,3,5.26,40,11,8,0,0,4,3,75%,1717.11,115,0.4,1.15,0.75,0.5,0,0.06,0.06,0,0.58,a
28-02-21,Luzern 2 : 2 Young Boys,LUZ,220,2,4,2,17,3,0,4-3-3d,5,0,8,3,363,73%,8,3,4,25%,188,51%,98,52%,90,49%,45,58%,29,41%,51,51%,86,25,59,4,16,25%,37%,51,36,13,715,508,71%,38%,4,1,0,264,1,47,2,4%,22,1,5%,9,4,44%,4,1,25%,0,0,0,5,3,60%,0,0,0,0,0,0,4,4.54,28,5,8,1,13%,8,3,38%,1179.07,113,1.42,1.53,0.11,0.7,1.41,0.18,0.08,0.71,1.53,h
28-02-21,Luzern 2 : 2 Young Boys,YB,230,2,8,2,17,3,0,4-4-2c,5,5,20,5,561,83%,10,5,23,22%,188,49%,90,51%,98,48%,45,42%,36,69%,36,67%,75,7,58,14,23,43%,63%,91,67,27,936,719,77%,25%,10,5,0,468,5,77,11,14%,21,3,14%,14,5,36%,5,4,80%,5,0,0,4,1,25%,1,0,0,0,0,0,10,4.63,35,19,10,4,40%,13,6,46%,1990.3,123,1.53,1.42,0.11,1.5,0.65,0.08,0.18,1.53,0.71,a
28-02-21,Sion 0 : 2 Vaduz,SIO,207,0,2,0,12,4,0,4-4-2d,3,3,9,0,569,81%,3,1,15,47%,198,59%,103,61%,95,56%,54,65%,35,63%,37,62%,75,15,51,9,15,60%,63%,79,50,12,921,708,77%,0,6,2,1,459,7,78,3,4%,9,1,11%,13,5,38%,8,4,50%,3,1,33%,2,0,0,0,0,0,0,0,0,9,2.77,38,16,6,5,83%,9,4,44%,1743.31,115,0.66,1.77,1.11,0.3,0,0.07,0.22,0,0.89,h
03-03-21,St. Gallen 0 : 1 Servette,SG,208,0,3,0,10,3,0,4-4-2d,6,3,13,3,623,83%,8,2,9,22%,161,42%,80,45%,81,38%,42,43%,31,42%,35,40%,89,7,71,16,19,47%,63%,99,63,25,987,764,77%,23%,6,4,0,515,2,94,9,10%,21,3,14%,6,1,17%,2,0,0,3,0,0,1,1,100%,0,0,0,0,0,0,9,6.06,35,23,9,4,44%,10,5,50%,2098.59,124,1.44,1.61,0.17,0.7,0,0.11,0.15,0,1.61,h
03-03-21,St. Gallen 0 : 1 Servette,SER,224,1,6,1,7,3,0,4-4-2c,3,1,11,3,396,72%,8,4,11,45%,161,58%,81,62%,80,55%,42,57%,29,72%,42,69%,90,24,67,3,12,17%,37%,53,34,13,721,523,73%,27%,7,1,0,285,5,53,5,9%,18,2,11%,6,4,67%,5,3,60%,1,1,100%,0,0,0,1,0,0,0,0,0,2,5.1,30,11,7,1,14%,5,1,20%,1212.67,114,1.61,1.44,0.17,1.5,0.62,0.15,0.11,1.61,0,a
03-03-21,Basel 1 : 1 Young Boys,BAS,222,1,2,1,10,1,0,4-3-3d,1,4,8,3,342,72%,2,0,5,0,139,55%,72,63%,67,46%,42,64%,16,50%,35,49%,75,20,57,3,4,50%,36%,56,29,13,626,456,73%,38%,3,2,0,245,0,53,3,6%,17,4,24%,9,1,11%,4,1,25%,4,0,0,1,0,0,1,0,0,0,0,0,2,5.88,9,6,2,1,50%,2,1,50%,1133.29,111,0.39,2.06,1.67,0.1,2.56,0.05,0.09,0.39,2.06,h
03-03-21,Basel 1 : 1 Young Boys,YB,226,1,7,1,10,1,0,4-4-2c,0,9,22,5,602,87%,3,3,26,42%,139,45%,67,54%,72,38%,42,36%,29,62%,26,69%,65,7,54,12,3,33%,64%,79,61,24,947,761,80%,23%,10,7,0,523,11,74,12,16%,14,4,29%,15,4,27%,5,2,40%,9,2,22%,1,0,0,2,0,0,0,0,0,1,3.77,26,22,1,0,0,2,1,50%,1983.42,107,2.06,0.39,1.67,2.7,0.49,0.09,0.05,2.06,0.39,a
04-03-21,Sion 0 : 3 Lugano,SIO,200,0,3,0,14,2,0,03-05-02,0,5,11,5,493,84%,5,2,16,31%,125,54%,57,61%,68,47%,44,59%,20,55%,21,67%,69,7,51,14,18,78%,46%,73,36,12,771,615,80%,45%,3,3,0,415,5,75,5,7%,5,1,20%,11,5,45%,6,3,50%,5,2,40%,0,0,0,1,0,0,0,0,0,14,8.03,28,18,11,8,73%,7,6,86%,1529.36,101,1.6,1.26,0.34,1.5,0,0.15,0.14,0,0.42,h
04-03-21,Sion 0 : 3 Lugano,LUG,225,3,4,3,13,2,0,3-5-2*,3,1,9,4,562,86%,4,2,2,50%,125,46%,68,53%,57,39%,44,41%,15,47%,26,58%,67,22,51,4,10,50%,54%,43,27,10,836,670,80%,44%,2,3,0,482,1,54,4,7%,11,3,27%,3,2,67%,0,0,0,1,1,100%,1,0,0,0,0,0,1,1,100%,5,5.12,53,35,5,3,60%,5,2,40%,1798.63,101,1.26,1.6,0.34,0.7,2.38,0.14,0.15,0.42,0,a
04-03-21,Zurich 1 : 2 Luzern,ZUR,204,1,2,1,11,5,0,4-4-2c,0,4,9,3,358,75%,7,2,9,22%,136,54%,64,56%,72,51%,38,53%,19,58%,29,69%,67,12,41,8,20,35%,38%,64,37,15,634,468,74%,33%,5,1,0,270,2,64,4,6%,14,2,14%,6,3,50%,2,0,0,4,3,75%,0,0,0,0,0,0,0,0,0,7,9.58,25,12,10,3,30%,10,4,40%,1193.26,106,1.68,2.02,0.34,0.7,0.6,0.19,0.2,1.68,1.01,h
04-03-21,Zurich 1 : 2 Luzern,LUZ,225,2,2,2,10,1,0,4-4-2c,1,6,10,3,576,86%,5,2,14,21%,136,46%,72,49%,64,44%,38,47%,20,45%,29,62%,67,18,48,7,13,69%,62%,58,42,12,888,719,81%,30%,6,1,0,498,3,56,6,11%,10,1,10%,7,2,29%,1,0,0,6,2,33%,0,0,0,0,0,0,0,0,0,9,3.42,48,28,5,2,40%,8,7,88%,1962.28,101,2.02,1.68,0.34,1.5,0.99,0.2,0.19,1.01,1.68,a
06-03-21,Young Boys 1 : 1 Vaduz,YB,226,1,10,1,22,3,0,4-4-2c,0,10,16,9,593,83%,9,7,26,23%,163,58%,84,68%,79,47%,60,68%,20,60%,27,70%,77,6,57,20,21,52%,59%,94,69,22,917,732,80%,56%,3,3,1,494,6,81,11,14%,12,1,8%,13,4,31%,3,1,33%,10,3,30%,0,0,0,0,0,0,0,0,0,11,6.64,25,20,10,4,40%,11,7,64%,1801.91,116,2.11,0.9,1.21,2.3,0.47,0.13,0.13,2.11,0.9,h
06-03-21,Servette 2 : 1 Basel,SER,229,2,9,2,9,1,0,4-3-3d,1,7,18,5,554,85%,10,7,28,14%,155,45%,73,42%,82,46%,28,46%,31,68%,34,44%,63,7,49,11,21,48%,56%,79,57,22,880,691,79%,28%,7,6,0,471,4,77,13,17%,13,3,23%,8,2,25%,1,1,100%,7,1,14%,0,0,0,1,0,0,0,0,0,10,8.35,33,17,16,10,63%,5,0,0,1808.64,96,2.79,1.8,0.99,2,0.72,0.16,0.2,1.4,1.8,h
06-03-21,Servette 2 : 1 Basel,BAS,201,1,2,1,3,1,0,4-2-3-1,1,6,9,2,466,82%,1,1,5,40%,155,55%,82,54%,73,58%,28,54%,30,63%,39,46%,65,17,51,5,16,31%,44%,53,28,11,761,591,78%,22%,5,2,0,384,2,48,4,8%,9,1,11%,8,3,38%,1,0,0,6,2,33%,0,0,0,0,0,0,1,1,100%,5,4.91,39,18,6,1,17%,10,4,40%,1407.5,103,1.8,2.79,0.99,0.5,0.56,0.2,0.16,1.8,1.4,a
07-03-21,Lausanne-Sport 1 : 3 Sion,SIO,221,3,5,3,8,3,0,3-5-2*,2,3,12,10,295,78%,4,4,3,0,163,52%,80,55%,83,48%,54,48%,17,53%,27,56%,71,12,46,5,14,64%,36%,49,28,9,595,441,74%,83%,1,1,0,229,0,54,2,4%,12,4,33%,12,5,42%,9,4,44%,3,1,33%,0,0,0,3,0,0,0,0,0,9,5.11,20,8,6,5,83%,8,4,50%,1043.38,104,1.63,2.51,0.88,0.5,1.84,0.14,0.13,0.54,2.51,a
07-03-21,Lugano 0 : 1 Zurich,LUG,211,0,5,0,15,2,0,3-5-2*,0,5,12,1,599,83%,4,3,16,13%,175,55%,78,54%,97,56%,55,55%,23,83%,30,50%,81,19,52,8,12,50%,66%,80,51,16,933,728,78%,8%,6,5,0,495,2,82,7,9%,8,0,0,13,3,23%,5,1,20%,5,2,40%,3,0,0,1,0,0,0,0,0,6,2.47,53,26,7,4,57%,5,2,40%,1928.04,124,1.92,1.09,0.83,2,0,0.16,0.16,0,1.09,h
07-03-21,Lugano 0 : 1 Zurich,ZUR,217,1,3,1,15,0,0,4-2-3-1,3,2,7,2,298,72%,5,2,4,0,175,45%,97,44%,78,46%,55,45%,20,75%,33,42%,79,17,53,13,27,33%,34%,53,27,11,627,427,68%,29%,4,1,0,215,0,60,2,3%,17,3,18%,5,2,40%,3,1,33%,2,1,50%,0,0,0,1,1,100%,0,0,0,9,4.46,19,7,10,4,40%,17,5,29%,1009.22,107,1.09,1.92,0.83,0.5,0.92,0.16,0.16,1.09,0,a
07-03-21,Luzern 4 : 2 St. Gallen,LUZ,228,4,8,4,11,2,0,4-4-2c,2,7,18,5,353,75%,7,4,9,33%,208,48%,98,53%,110,44%,59,47%,29,59%,41,63%,77,21,54,4,9,44%,53%,67,43,16,738,517,70%,28%,8,4,1,265,3,60,10,17%,18,3,17%,13,4,31%,2,1,50%,7,2,29%,3,0,0,0,0,0,1,1,100%,4,2.84,38,9,3,1,33%,6,3,50%,1323.13,122,2.43,1.96,0.47,1.5,1.23,0.14,0.12,0.81,0.98,h
07-03-21,Luzern 4 : 2 St. Gallen,SG,203,2,7,2,13,3,0,4-4-2d,1,5,17,7,334,75%,12,4,6,17%,208,52%,110,56%,98,47%,59,53%,31,48%,42,60%,74,8,61,18,29,66%,47%,73,42,15,723,518,72%,41%,7,2,1,250,1,64,6,9%,23,4,17%,10,7,70%,5,4,80%,5,3,60%,0,0,0,2,0,0,0,0,0,19,3.15,17,8,11,9,82%,18,10,56%,1151.12,116,1.96,2.43,0.47,0.7,1.02,0.12,0.14,0.98,0.81,a
13-03-21,Zurich 1 : 1 Lausanne-Sport,ZUR,209,1,3,1,13,1,0,4-2-3-1,1,2,5,2,398,77%,12,2,8,25%,192,52%,98,51%,94,52%,47,43%,25,56%,41,61%,84,15,56,12,24,46%,38%,63,27,7,742,543,73%,40%,3,0,0,305,2,65,5,8%,15,0,0,3,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,11,5.67,26,7,8,5,63%,16,6,38%,1274,113,1.1,1.19,0.09,0.7,0.91,0.22,0.09,1.1,1.19,h
13-03-21,Basel 4 : 1 Luzern,BAS,223,4,9,4,10,1,0,4-2-3-1,3,3,12,7,515,84%,9,5,3,33%,126,46%,60,58%,66,35%,28,36%,18,50%,28,68%,82,20,56,9,18,44%,53%,55,37,14,798,632,79%,58%,3,1,1,432,1,67,7,10%,20,5,25%,5,0,0,1,0,0,3,0,0,1,0,0,0,0,0,0,0,0,8,5.17,45,16,7,3,43%,11,5,45%,1622.47,111,1.38,2.64,1.26,0.3,2.9,0.12,0.11,0.35,2.64,h
13-03-21,Basel 4 : 1 Luzern,LUZ,204,1,12,1,14,2,0,4-2-3-1,2,10,25,6,427,80%,14,9,12,50%,126,54%,66,65%,60,42%,28,64%,15,60%,30,70%,75,16,60,15,29,55%,47%,79,55,28,755,571,76%,24%,11,8,0,341,6,58,12,21%,22,3,14%,17,7,41%,3,1,33%,10,5,50%,4,1,25%,1,0,0,0,0,0,16,7.58,34,16,17,10,59%,12,6,50%,1462.29,119,2.64,1.38,1.26,2.3,0.38,0.11,0.12,2.64,0.35,a
14-03-21,Sion 1 : 2 Servette,SIO,201,1,7,1,10,3,0,03-05-02,0,5,11,6,437,76%,5,4,10,40%,178,53%,78,50%,100,56%,50,50%,27,74%,33,36%,80,12,65,8,20,25%,42%,71,40,17,793,590,74%,55%,3,2,0,334,4,68,5,7%,17,1,6%,11,5,45%,6,2,33%,5,3,60%,0,0,0,0,0,0,0,0,0,5,5.83,23,5,11,3,27%,9,2,22%,1455.07,113,1.57,1.89,0.32,0.7,0.64,0.14,0.13,1.57,0.95,h
14-03-21,Sion 1 : 2 Servette,SER,228,2,8,2,12,2,0,4-3-3d,2,4,15,6,609,83%,20,6,14,36%,178,47%,100,44%,78,50%,50,50%,30,70%,33,39%,78,14,67,9,18,33%,58%,68,41,19,977,760,78%,40%,4,5,0,507,5,65,11,17%,22,1,5%,5,3,60%,0,0,0,4,2,50%,1,1,100%,0,0,0,0,0,0,6,3.75,36,16,6,2,33%,12,4,33%,1977.45,108,1.89,1.57,0.32,1.5,1.06,0.13,0.14,0.95,1.57,a
14-03-21,St. Gallen 2 : 2 Young Boys,SG,220,2,4,2,10,3,0,4-4-2d,6,3,5,2,393,70%,12,4,7,14%,195,52%,107,50%,88,55%,48,48%,21,48%,45,47%,92,21,68,7,19,47%,45%,56,28,14,789,555,70%,40%,1,2,0,274,1,60,4,7%,18,0,0,6,1,17%,2,0,0,3,0,0,0,0,0,0,0,0,1,1,100%,9,2.94,19,4,12,5,42%,7,4,57%,1240.53,117,1.15,2.23,1.08,0.3,1.74,0.23,0.28,0.58,1.12,h
14-03-21,St. Gallen 2 : 2 Young Boys,YB,224,2,7,2,15,5,0,4-4-2c,4,3,8,5,466,74%,10,5,18,28%,195,48%,88,45%,107,50%,48,52%,40,60%,24,58%,93,11,61,11,15,53%,55%,77,44,20,856,617,72%,63%,2,1,0,344,5,85,3,4%,18,2,11%,5,2,40%,1,0,0,3,1,33%,0,0,0,0,0,0,1,1,100%,8,3.04,30,11,7,6,86%,8,2,25%,1499.03,123,2.23,1.15,1.08,2.3,0.9,0.28,0.23,1.12,0.58,a
14-03-21,Vaduz 0 : 3 Lugano,LUG,231,3,5,3,8,1,0,03-05-02,2,4,11,7,498,83%,7,4,11,55%,133,52%,64,61%,69,43%,33,58%,16,63%,31,68%,74,18,53,6,11,36%,45%,63,39,15,772,616,80%,64%,2,2,0,415,6,66,2,3%,14,4,29%,6,4,67%,2,2,100%,4,2,50%,0,0,0,0,0,0,0,0,0,4,6.52,38,16,6,3,50%,5,1,20%,1480.18,114,1.23,1.75,0.52,0.5,2.44,0.11,0.18,0.41,0,a
20-03-21,Lausanne-Sport 4 : 3 St. Gallen,SG,207,3,7,3,7,1,0,4-3-3d,2,6,9,4,532,83%,7,5,8,25%,159,48%,63,62%,96,39%,32,47%,27,44%,32,56%,85,7,65,10,13,77%,58%,82,38,16,871,675,78%,44%,2,3,0,440,2,89,2,2%,14,2,14%,9,5,56%,2,0,0,6,4,67%,0,0,0,0,0,0,1,1,100%,10,5.3,34,12,8,6,75%,5,4,80%,1902.46,122,1.83,1.14,0.69,2,1.09,0.2,0.19,0.92,0.29,a
20-03-21,Lugano 2 : 1 Basel,LUG,229,2,5,2,11,3,0,3-5-2*,2,2,19,5,461,81%,11,4,15,27%,167,60%,90,64%,77,56%,39,64%,26,62%,33,82%,72,12,67,15,21,48%,47%,67,43,20,799,618,77%,26%,11,3,0,374,4,57,11,19%,17,5,29%,4,1,25%,2,1,50%,2,0,0,0,0,0,0,0,0,0,0,0,10,6.12,27,10,14,9,64%,7,1,14%,1489.77,105,2.83,1.26,1.57,2.7,0.71,0.15,0.13,1.42,1.26,h
20-03-21,Lugano 2 : 1 Basel,BAS,203,1,7,1,10,1,0,4-2-3-1,2,7,10,4,544,84%,8,4,7,14%,167,40%,77,44%,90,36%,39,36%,28,21%,28,43%,82,17,52,6,17,35%,53%,64,38,14,870,665,76%,40%,4,2,0,459,1,70,5,7%,14,1,7%,10,3,30%,3,1,33%,7,2,29%,0,0,0,0,0,0,0,0,0,6,4.99,31,10,9,4,44%,8,2,25%,1670.45,117,1.26,2.83,1.57,0.1,0.79,0.13,0.15,1.26,1.42,a
21-03-21,Young Boys 4 : 0 Zurich,YB,243,4,9,4,16,1,0,4-4-2c,1,9,20,8,573,87%,7,4,19,32%,157,49%,66,48%,91,49%,36,61%,41,61%,27,26%,72,10,59,17,23,61%,63%,80,55,26,913,734,80%,40%,7,5,0,496,6,77,13,17%,12,3,25%,14,3,21%,5,2,40%,9,1,11%,0,0,0,2,0,0,0,0,0,14,5.13,43,24,14,10,71%,9,4,44%,1905.27,113,2.72,1.43,1.29,2.3,1.47,0.14,0.14,0.68,0,h
21-03-21,Young Boys 4 : 0 Zurich,ZUR,198,0,3,0,14,1,0,4-2-3-1,2,6,10,1,353,77%,6,3,8,38%,157,51%,91,51%,66,52%,36,39%,25,80%,51,51%,73,22,53,5,19,21%,37%,53,24,11,656,476,73%,10%,8,1,0,272,3,44,2,5%,12,2,17%,13,6,46%,6,2,33%,6,3,50%,1,1,100%,1,0,0,0,0,0,4,5.39,33,10,4,1,25%,15,3,20%,1123.96,104,1.43,2.72,1.29,0.3,0,0.14,0.14,0,0.68,a
21-03-21,Luzern 1 : 1 Sion,LUZ,224,1,6,1,16,1,0,4-4-2c,0,5,11,3,578,83%,10,6,15,13%,161,51%,78,53%,83,49%,43,47%,28,61%,26,65%,77,10,60,10,14,50%,65%,74,50,20,899,698,78%,27%,3,3,2,480,2,71,6,8%,16,2,13%,13,2,15%,7,1,14%,5,1,20%,1,0,0,0,0,0,0,0,0,7,4.21,38,19,7,5,71%,7,2,29%,1986.26,118,1.43,0.48,0.95,2,0.7,0.13,0.08,1.43,0.48,h
21-03-21,Luzern 1 : 1 Sion,SIO,203,1,2,1,16,4,0,4-2-3-1,3,2,6,4,362,78%,12,1,8,13%,161,49%,83,51%,78,47%,43,53%,23,39%,33,48%,74,14,63,7,19,26%,35%,48,27,7,683,499,73%,67%,1,1,0,282,1,50,2,4%,11,2,18%,7,2,29%,5,1,20%,2,1,50%,0,0,0,0,0,0,0,0,0,5,4.71,16,2,9,2,22%,10,3,30%,1080.93,105,0.48,1.43,0.95,0.5,2.08,0.08,0.13,0.48,1.43,a
21-03-21,Servette 1 : 2 Vaduz,SER,205,1,7,1,10,3,0,4-3-3d,0,10,16,4,690,86%,4,3,24,17%,153,50%,74,55%,79,44%,44,43%,24,79%,27,56%,71,7,54,14,20,45%,62%,90,62,21,1006,810,81%,25%,8,4,0,595,4,77,6,8%,12,4,33%,14,5,36%,4,2,50%,10,3,30%,0,0,0,1,0,0,0,0,0,9,5.2,34,20,13,7,54%,7,2,29%,2038.3,110,1.47,1.27,0.2,1.5,0.68,0.09,0.18,1.47,0.64,h
03-04-21,Lausanne-Sport 2 : 1 Luzern,LUZ,206,1,6,1,8,1,0,4-2-3-1,2,9,12,4,496,84%,7,5,24,42%,166,48%,83,57%,83,39%,37,35%,25,52%,27,59%,71,13,50,12,12,58%,54%,69,51,16,820,634,77%,33%,6,2,0,416,10,61,8,13%,13,2,15%,12,1,8%,3,0,0,9,1,11%,0,0,0,0,0,0,0,0,0,7,4.42,39,24,8,4,50%,4,3,75%,1650.46,109,1.74,1.3,0.44,1.5,0.57,0.15,0.19,1.74,0.65,a
03-04-21,St. Gallen 1 : 1 Zurich,SG,222,1,9,1,14,4,1,4-4-2d,1,6,18,6,458,75%,11,3,25,16%,168,54%,77,58%,91,49%,37,51%,33,58%,36,64%,70,10,59,10,27,44%,55%,82,62,24,833,616,74%,33%,6,5,1,342,4,70,9,13%,21,4,19%,15,4,27%,4,1,25%,6,1,17%,5,2,40%,1,0,0,0,0,0,12,4.05,25,12,17,8,47%,10,4,40%,1541.91,118,1.28,1.05,0.23,1.5,0.78,0.07,0.13,1.28,1.05,h
